bayId,occupiedRate
5353,0
5354,0
5355,0
5356,0
5357,0
5358,0
5359,0
5360,0
5361,0
5362,0
5363,0
5364,0
5368,0
5370,0
5371,0
5372,0
5373,0
5375,0
5376,0
5383,0
5384,1
5385,0
5386,0
5389,1
5390,0
5396,1
5398,0
5400,1
5401,1
5405,0
5410,1
5417,0
5429,1
5438,0
5446,0
5450,0
5451,0
5462,0
5465,0
5467,0
5496,0
5499,0
5500,0
5503,0
5508,0
5509,0
5510,0
5519,0
5521,0
5536,0
5538,0
5542,0
5546,0
5550,0
5552,0
5558,0
5559,0
5560,0
5561,0
5562,0
5563,0
5564,0
5565,0
5566,0
5567,0
5568,0
5570,0
5571,0
5572,0
5574,0
5575,0
5576,0
5577,0
5578,0
5579,0
5580,0
5618,0
5619,1
5620,0
5622,0
5625,0
5626,0
5627,0
5631,0
5632,0
5634,1
5635,0
5636,0
5637,0
5638,0
5639,0
5640,1
5641,0
5646,1
5647,0
5687,1
5688,1
5697,0
5698,0
5708,0
5709,0
5710,0
5711,0
5712,0
5716,1
5722,0
5726,1
5727,1
5737,1
5739,1
5742,1
5752,0
5753,1
5754,0
5755,1
5756,0
5757,1
5763,1
5764,1
5768,0
5769,0
5770,0
5771,0
5776,1
5789,0
5790,1
5791,1
5797,0
5799,0
5800,0
5830,0
5848,0
5849,0
6003,0
6004,0
6005,0
6007,0
6008,0
6009,0
6010,0
6015,0
6016,0
6017,0
6018,0
6020,0
6021,0
6022,0
6024,0
6025,0
6035,0
6036,0
6037,0
6038,0
6039,0
6040,1
6048,0
6049,0
6053,0
6055,0
6056,0
6059,0
6061,0
6063,0
6064,0
6065,0
6066,0
6068,0
6069,0
6070,0
6071,0
6072,0
6073,0
6077,0
6082,0
6083,0
6084,0
6085,0
6089,0
6092,0
6101,0
6102,0
6103,0
6105,0
6106,0
6107,0
6108,0
6109,0
6110,0
6111,0
6113,0
6114,0
6116,0
6117,0
6118,0
6120,0
6121,0
6123,0
6124,0
6125,0
6127,0
6129,0
6130,0
6132,0
6133,0
6140,0
6141,0
6142,0
6143,0
6145,0
6147,0
6148,0
6149,0
6150,0
6151,0
6153,0
6154,0
6155,0
6156,0
6157,0
6158,0
6159,0
6161,0
6162,0
6163,0
6165,0
6167,0
6168,0
6169,0
6170,0
6172,0
6174,0
6177,0
6183,0
6184,0
6185,0
6186,0
6188,0
6189,0
6190,0
6191,0
6192,0
6193,0
6195,0
6197,0
6198,0
6203,0
6205,0
6206,0
6207,0
6210,0
6212,0
6215,0
6222,0
6223,0
6224,0
6225,0
6226,0
6227,0
6229,0
6230,0
6231,0
6232,0
6233,0
6234,0
6236,0
6237,0
6238,0
6239,0
6240,0
6241,0
6244,0
6248,0
6249,0
6250,0
6251,0
6252,0
6253,0
6255,0
6256,0
6257,0
6258,0
6259,0
6260,0
6263,0
6264,0
6265,0
6266,0
6267,0
6269,0
6270,0
6272,0
6274,0
6276,0
6277,0
6278,0
6281,0
6282,0
6283,0
6284,0
6286,0
6287,0
6288,0
6289,0
6292,0
6294,0
6295,0
6296,0
6302,0
6303,0
6307,0
6320,0
6321,0
6322,0
6323,0
6324,0
6325,1
6326,0
6327,0
6328,0
6329,0
6330,0
6331,0
6332,0
6333,0
6334,0
6335,0
6338,0
6339,0
6350,0
6351,0
6352,0
6353,0
6359,0
6360,0
6361,0
6362,0
6377,0
6378,0
6379,0
6380,0
6382,0
6384,0
6390,0
6391,0
6396,0
6399,0
6403,0
6406,0
6410,0
6412,0
6413,0
6414,0
6416,0
6417,0
6421,0
6423,0
6425,0
6426,0
6429,0
6430,0
